implementation,num_of_particles,steps,dt,worker_count,num_chunks,total_runtime_s,interactions,interactions_per_s
multiprocessing,10,1,0.01,1,1,0.15920658399772947,90,565.3032540493648
multiprocessing,10,5,0.01,1,1,0.07290970800022478,450,6172.017586445589
multiprocessing,10,10,0.01,1,1,0.07390208400101983,900,12178.276325571282
multiprocessing,50,1,0.01,1,1,0.0718551669997396,2450,34096.36498386927
multiprocessing,50,5,0.01,1,1,0.07430408400250599,12250,164863.078045439
multiprocessing,50,10,0.01,1,1,0.07736829100031173,24500,316667.1989678728
multiprocessing,100,1,0.01,1,1,0.07227604099898599,9900,136974.85173736748
multiprocessing,100,5,0.01,1,1,0.08104895799988299,49500,610741.9666033395
multiprocessing,100,10,0.01,1,1,0.0925708750000922,99000,1069450.8396933852
multiprocessing,200,1,0.01,1,1,0.08643512500202633,39800,460460.95264010964
multiprocessing,200,5,0.01,1,1,0.11574641600236646,199000,1719275.6965877146
multiprocessing,200,10,0.01,1,1,0.15201574999809964,398000,2618149.7641196745
multiprocessing,500,1,0.01,1,1,0.1227528750023339,249500,2032538.9527150078
multiprocessing,500,5,0.01,1,1,0.3310851669994008,1247500,3767912.68333159
multiprocessing,500,10,0.01,1,1,0.5977375830007077,2495000,4174072.487586992
multiprocessing,10,1,0.01,1,2,0.07026262499857694,90,1280.9085911866061
multiprocessing,10,5,0.01,1,2,0.07048612499784213,450,6384.23519542004
multiprocessing,10,10,0.01,1,2,0.07174645800114376,900,12544.173260590125
multiprocessing,50,1,0.01,1,2,0.07021633299882524,2450,34892.166756144754
multiprocessing,50,5,0.01,1,2,0.0728195420015254,12250,168224.07369361634
multiprocessing,50,10,0.01,1,2,0.07648908400005894,24500,320307.14343475626
multiprocessing,100,1,0.01,1,2,0.07158241599972825,9900,138302.12157183382
multiprocessing,100,5,0.01,1,2,0.08041795800090767,49500,615534.1571771979
multiprocessing,100,10,0.01,1,2,0.09161929200126906,99000,1080558.44830834
multiprocessing,200,1,0.01,1,2,0.0819086250012333,39800,485907.3143933344
multiprocessing,200,5,0.01,1,2,0.11516058400229667,199000,1728021.8029810556
multiprocessing,200,10,0.01,1,2,0.15187633399909828,398000,2620553.1139720757
